sergree/matchering	2644	2026-07-08	2018-09-28	GPL-3.0	🎚️ Open Source Audio Matching and Mastering
spotify/basic-pitch	5618	2025-11-13	2022-05-03	Apache-2.0	A lightweight yet powerful audio-to-MIDI converter with pitch bend detection
magenta/mt3	1755	2026-09-15	2021-11-03	Apache-2.0	MT3: Multi-Task Multitrack Music Transcription
facebookresearch/encodec	4058	2024-01-04	2022-10-20	MIT	State-of-the-art deep learning based audio codec supporting both mono 24 kHz audio and stereo 48 kHz audio.
descriptinc/descript-audio-codec	1863	2026-07-16	2023-06-12	MIT	State-of-the-art audio codec with 90x compression factor. Supports 44.1kHz, 24kHz, and 16kHz mono/stereo audio.
hubertsiuzdak/snac	776	2024-11-19	2024-02-20	MIT	Multi-Scale Neural Audio Codec (SNAC) compresses audio into discrete codes at a low bitrate
Comfy-Org/ComfyUI	134707	2026-09-23	2023-01-17	GPL-3.0	The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.
billwuhao/ComfyUI_ACE-Step	251	2025-05-28	2025-05-07	Apache-2.0	ACE-Step: A Step Towards Music Generation Foundation Model
kijai/ComfyUI-MMAudio	575	2026-02-01	2024-12-10	MIT	
diodiogod/TTS-Audio-Suite	1212	2026-09-19	2025-08-06	NOASSERTION	A ComfyUI custom node integration for local multi-engine multi-language Text-to-Speech and Voice Conversion. Supports: RVC, Echo-TTS, Qwen3-
christian-byrne/audio-separation-nodes-comfyui	621	2026-08-17	2024-07-03	MIT	Separate stems (vocals, bass, drums, other) from audio. Recombine, tempo match, slice/crop audio
yuvraj108c/ComfyUI-Whisper	269	2026-06-07	2024-01-24	NOASSERTION	Transcribe audio and add subtitles to videos using Whisper in ComfyUI
ASLP-lab/DiffRhythm2	174	2025-11-09	2025-10-28	Apache-2.0	Di♪♪Rhythm 2: Efficient And High Fidelity Song Generation Via Block Flow Matching
stepfun-ai/Step-Audio2	1520	2026-03-16	2025-07-15	Apache-2.0	Step-Audio 2 is an end-to-end multi-modal large language model designed for industry-strength audio understanding and speech conversation.
stepfun-ai/Step-Audio-EditX	978	2026-04-09	2025-10-29	Apache-2.0	A powerful 3B-parameter, LLM-based Reinforcement Learning audio edit model excels at editing emotion, speaking style, and paralinguistics, a
OpenBMB/VoxCPM	37918	2026-09-02	2025-09-16	Apache-2.0	VoxCPM2: Tokenizer-Free TTS for Multilingual Speech Generation, Creative Voice Design, and True-to-Life Cloning
microsoft/VibeVoice	54470	2026-09-03	2025-08-25	MIT	Open-Source Frontier Voice AI
index-tts/index-tts	24156	2026-08-18	2025-02-06	NOASSERTION	An Industrial-Level Controllable and Efficient Zero-Shot Text-To-Speech System
boson-ai/higgs-audio	8358	2026-06-05	2025-07-20	Apache-2.0	Text-audio foundation model from Boson AI
kyutai-labs/delayed-streams-modeling	3030	2026-01-26	2025-06-16	Apache-2.0	Kyutai's Speech-To-Text and Text-To-Speech models based on the Delayed Streams Modeling framework.
Tencent-Hunyuan/HunyuanVideo-Foley	1056	2025-09-28	2025-08-15	NOASSERTION	HunyuanVideo-Foley: Multimodal Diffusion with Representation Alignment for High-Fidelity Foley Audio Generation.
bytedance/MegaTTS3	6100	2026-06-15	2025-03-20	Apache-2.0	
HeartMuLa/heartlib	3820	2026-09-17	2026-01-15	Apache-2.0	HeartMuLa Official Repo: The Most Powerful Open-Source Music Generation Model of 2026
NVIDIA/audio-flamingo	1194	2025-12-15	2024-05-20	none	PyTorch implementation of Audio Flamingo: Series of Advanced Audio Understanding Language Models
Rikorose/DeepFilterNet	4745	2024-10-17	2021-10-10	NOASSERTION	Noise supression using deep filtering
resemble-ai/resemble-enhance	2432	2024-12-03	2023-11-15	MIT	AI powered speech denoising and enhancement
QwenLM/Qwen3-TTS	13510	2026-03-17	2026-01-21	Apache-2.0	Qwen3-TTS is an open-source series of TTS models developed by the Qwen team at Alibaba Cloud, supporting stable, expressive, and streaming s
QwenLM/Qwen3-ASR	3592	2026-06-26	2026-01-28	Apache-2.0	Qwen3-ASR is an open-source series of ASR models developed by the Qwen team at Alibaba Cloud, supporting stable multilingual speech/music/so
{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/repos#get-a-repository","status":"404"}nvidia/parakeet	NOT_FOUND
{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/repos#get-a-repository","status":"404"}Stability-AI/stable-audio-open-small	NOT_FOUND
openvpi/SOME	706	2026-03-07	2023-09-11	MIT	SOME: Singing-Oriented MIDI Extractor.
Music-and-Culture-Technology-Lab/omnizart	1980	2026-05-31	2020-08-26	MIT	Omniscient Mozart, being able to transcribe everything in the music, including vocal, drum, chord, beat, instruments, and more.
xavriley/ADTOF	0	2025-09-15	2024-12-18	NOASSERTION	Additional material for the paper ADTOF: A large dataset of non-synthetic music for automatic drum transcription
ace-step/ACE-Step-1.5	12856	2026-09-03	2025-09-04	MIT	The most powerful local music generation model that outperforms almost all commercial alternatives, supporting Mac, AMD, Intel, and CUDA dev
{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/repos#get-a-repository","status":"404"}fal-ai/MiniMax	NOT_FOUND
Lightricks/LTX-2	9511	2026-08-26	2026-01-03	NOASSERTION	Official Python inference and LoRA trainer package for the LTX-2 audio–video generative model.
